SMILES,Activity,set,ecfpfingerprint1031,ecfpfingerprint1050,ecfpfingerprint1150,ecfpfingerprint1479,ecfpfingerprint1480,ecfpfingerprint1487,ecfpfingerprint1747,ecfpfingerprint621,ecfpfingerprint94,mapfingerprint1,mapfingerprint1020,mapfingerprint1025,mapfingerprint1055,mapfingerprint1088,mapfingerprint1102,mapfingerprint1109,mapfingerprint1172,mapfingerprint1175,mapfingerprint1199,mapfingerprint1218,mapfingerprint124,mapfingerprint1241,mapfingerprint1253,mapfingerprint126,mapfingerprint1272,mapfingerprint1356,mapfingerprint1387,mapfingerprint1417,mapfingerprint1418,mapfingerprint1428,mapfingerprint1436,mapfingerprint1448,mapfingerprint1454,mapfingerprint150,mapfingerprint1503,mapfingerprint1506,mapfingerprint1539,mapfingerprint1544,mapfingerprint1547,mapfingerprint1600,mapfingerprint1615,mapfingerprint1617,mapfingerprint165,mapfingerprint1663,mapfingerprint1673,mapfingerprint168,mapfingerprint1702,mapfingerprint1776,mapfingerprint1784,mapfingerprint1788,mapfingerprint1811,mapfingerprint1821,mapfingerprint1825,mapfingerprint1842,mapfingerprint186,mapfingerprint188,mapfingerprint1883,mapfingerprint1905,mapfingerprint1907,mapfingerprint1921,mapfingerprint1938,mapfingerprint1940,mapfingerprint2025,mapfingerprint2036,mapfingerprint211,mapfingerprint212,mapfingerprint215,mapfingerprint232,mapfingerprint233,mapfingerprint235,mapfingerprint296,mapfingerprint301,mapfingerprint302,mapfingerprint336,mapfingerprint347,mapfingerprint383,mapfingerprint389,mapfingerprint417,mapfingerprint419,mapfingerprint436,mapfingerprint449,mapfingerprint475,mapfingerprint523,mapfingerprint547,mapfingerprint578,mapfingerprint598,mapfingerprint60,mapfingerprint624,mapfingerprint629,mapfingerprint644,mapfingerprint674,mapfingerprint682,mapfingerprint695,mapfingerprint702,mapfingerprint710,mapfingerprint721,mapfingerprint730,mapfingerprint766,mapfingerprint781,mapfingerprint793,mapfingerprint799,mapfingerprint802,mapfingerprint806,mapfingerprint817,mapfingerprint848,mapfingerprint885,mapfingerprint890,mapfingerprint925,mapfingerprint96,mapfingerprint977,pubchemfingerprint338,pubchemfingerprint580,pubchemfingerprint759,rdkit_BalabanJ,rdkit_BertzCT,rdkit_Chi0,rdkit_Chi0n,rdkit_Chi1v,rdkit_Chi3n,rdkit_Chi3v,rdkit_EState_VSA10,rdkit_EState_VSA3,rdkit_EState_VSA4,rdkit_EState_VSA8,rdkit_ExactMolWt,rdkit_FpDensityMorgan1,rdkit_HeavyAtomMolWt,rdkit_Ipc,rdkit_Kappa1,rdkit_Kappa2,rdkit_Kappa3,rdkit_LabuteASA,rdkit_MaxAbsEStateIndex,rdkit_MinAbsEStateIndex,rdkit_MinPartialCharge,rdkit_MolLogP,rdkit_MolMR,rdkit_NumHeteroatoms,rdkit_NumValenceElectrons,rdkit_PEOE_VSA1,rdkit_PEOE_VSA8,rdkit_SMR_VSA1,rdkit_SMR_VSA10,rdkit_SMR_VSA3,rdkit_SMR_VSA5,rdkit_SMR_VSA7,rdkit_SlogP_VSA10,rdkit_SlogP_VSA2,rdkit_SlogP_VSA4,rdkit_SlogP_VSA5,rdkit_TPSA,rdkit_VSA_EState2,rdkit_VSA_EState3,rdkit_VSA_EState5,rdkit_VSA_EState8,rdkit_VSA_EState9
c1ccc(OCCNc2ccc(-c3nc4ccccc4o3)cc2)cc1,0,train,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.9640661,-1.261754,-1.9532361,-1.8127385,-1.7661662,-1.4915386,-1.6142294,-1.9293667,-0.81945723,0.4913926,-0.31666586,-1.9904919,-0.8153663,-1.9636722,-0.9245219,-2.1689034,-1.6834887,-1.3878553,-1.8672835,-5.4693437,5.761276,-0.86616147,-1.2492719,-1.5317206,-1.7263783,-1.9452959,-0.07657438,-0.37116733,-1.6301757,0.0029196686,-0.47761083,-1.7690676,0.04924156,-1.3805275,-1.1136847,-0.89388424,-1.4505706,-0.79487723,-1.1537764,-0.9335618,1.2657628,-0.6138314,-0.4689384
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0,train,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,-0.8109546,-0.7126636,0.27311954,1.1246676,1.4589871,3.698838,3.679304,-0.6428,0.1481755,2.1029575,2.4926975,0.09234516,-1.0796558,-0.14429584,-0.16372606,0.38614985,-0.3821904,-1.0273706,0.5048729,-0.4677661,-0.74615324,-0.6598935,0.46965346,0.89936656,-1.238224,0.4757386,0.013570303,-0.34149352,-0.40805498,0.10804974,-1.0845408,2.5706007,-2.9082007,-1.7207518,-0.14475779,5.2719445,2.0415332,1.2037203,1.7023975,1.8314121,0.37299186,3.938896,-0.4689384
C=C(C)c1cc(C#N)cc2nc(-c3ccc(C(=O)NCC4CCN(c5ccc(C(F)(F)F)cn5)CC4)cc3)oc12,0,train,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,-1.4893823,0.640505,-0.017449412,0.053120885,0.042739354,0.0590371,-0.032836724,-0.39608094,1.7452645,0.5784259,0.9930723,-0.12601788,1.7054806,-0.11775452,0.1866109,-0.22461703,-0.067023575,-0.34313002,0.07944845,-0.54098535,1.2803936,0.23659508,-0.37841892,0.37237602,-0.26191553,-0.118100025,-0.045897417,1.2202582,-0.829,1.0919915,0.77677745,-0.9104587,0.25750396,-0.58480746,-0.067404814,0.98303217,-0.1428807,0.9856305,0.52090746,0.59666896,0.89803517,1.0343409,-0.4689384
CC(=O)C1=C(C(C)=O)C(C(C)=O)C=C2OC3CC[C@@]4(C)C(C)(C)CCC[C@]4(C)C3C=C21,0,train,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6498091,-1.1269295,-0.9416503,-0.33986726,-0.38845572,1.2852969,1.2177947,-0.9798878,-0.57705086,-0.043331373,1.4267315,-1.1745012,-0.09685793,-1.2858714,-0.92050207,-1.0086479,-1.7168945,-1.7289262,-0.92530465,-0.5389291,-0.3693287,-0.82100254,-0.9326746,-0.6824579,-1.7263783,-0.94033813,-1.9079968,-0.059546866,-1.0265825,0.055693313,-1.0845408,1.0996469,-1.9116774,-1.7207518,-0.79342026,2.1616683,0.8000712,-0.30464125,1.8159738,-1.5051197,-0.05496993,2.7299151,-0.4689384
CC(=O)Nc1ccccc1SSc1ccccc1NC(C)=O,0,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3031023,-2.0544758,-2.1125321,-2.1436784,-1.5561229,-2.1041608,-1.0006216,-1.2963808,-1.5067663,-0.24338184,-0.29194424,-1.9737735,-1.6636292,-1.927318,-0.9257229,-1.9720262,-1.3315277,-0.78406453,-2.0697145,-1.625149,0.2501024,2.3934445,-1.593636,-1.81066,-1.238224,-2.1736953,-0.79854107,0.0048944615,-1.6038274,2.628323,-1.0845408,-0.9866905,-1.2954394,-1.0403033,-1.4943616,-0.89388424,-1.0637567,-0.38814905,0.6251494,-0.543341,0.11935783,-0.18488203,2.009672
CC(=O)OC(CN(Cc1cccc(C(F)(F)F)c1)c1cccc(F)c1)C(F)(F)F,0,train,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2.035627,-1.4421511,-1.1279473,-1.503835,-1.7642174,-1.495573,-1.6183441,0.41584104,-1.5067663,0.900815,-0.7299599,-1.184509,0.6481001,-1.1173614,-0.92454845,-0.9625812,-0.9882393,0.14814436,-1.5007684,0.028641753,-0.7259392,-0.06681589,-1.0369467,-1.923737,-0.26191553,-1.1687376,-0.9860879,-0.28361553,0.2539395,-0.47830567,-1.0845408,-0.7124229,-0.5442669,0.45794055,-0.71268547,-0.26089534,-0.9463458,-1.4566028,-0.47868434,-1.5051197,-1.0226421,-1.1044745,-0.4689384
CC(=O)O[C@H](CN[C@@](Cc1ccccc1)(c1cc(F)cc(C(F)(F)F)c1)c1ccc(Cl)cn1)C(F)(F)F,0,train,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.6737087,-0.40939483,-0.18652798,-0.5537861,-0.62752277,-0.7143988,-0.7100798,0.41584104,-0.8671814,-0.35125002,0.035194542,-0.10082229,0.38862056,-0.034252487,-0.8537805,0.017825954,0.024028022,0.42638063,-0.308942,0.7080638,-0.41853848,-0.077512294,-0.3766349,-0.63983226,0.22623876,-0.2551397,-1.9079968,0.16243634,0.2539395,0.07637686,0.16984747,-0.5331994,0.99005693,0.11771628,-0.4125417,-0.26089534,-0.6318833,-0.6483656,-0.1708755,-1.031987,-1.3921479,-1.040103,-0.4689384
CC(=O)c1cc(C)cc2nc(-c3ccc(NC(=O)COc4ccccc4C)cc3)oc12,0,train,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.6257417,-0.25783652,-1.10483,-0.9164739,-1.1069808,-0.9960025,-1.1088448,-1.2963808,0.36256626,-0.4873448,-0.31666586,-1.2620902,0.6313595,-1.2502924,-0.91266346,-1.3227285,-1.1048021,-0.95771956,-1.073684,-0.94568336,-0.108478636,-0.7042314,-1.0448395,-0.71081936,-1.238224,-1.2144175,-0.07657438,-0.7924059,-1.0494379,1.0994639,-0.47761083,-1.0815891,-0.017644549,-1.3805275,-0.8038035,0.6129001,-0.65700686,0.47787258,1.0060254,-1.0250596,0.775798,0.42088607,-0.4689384
CC(=O)c1ccc2oc(-c3ccc(NC(=O)COc4ccccc4C)cc3)nc2c1,0,train,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.75598425,-0.38917813,-1.2507913,-1.1297485,-1.2732136,-1.1034452,-1.2184229,-1.2963808,0.36256626,-0.7906208,-0.31666586,-1.3835957,0.63945085,-1.3573414,-0.91653824,-1.4823529,-1.2038394,-1.0875884,-1.2232043,-0.97523206,-0.61674595,-0.7042314,-1.2270468,-0.9090307,-1.238224,-1.3514572,-0.07657438,-0.4343268,-1.0494379,1.0994639,-0.47761083,-1.3107486,0.0046508214,-1.3805275,-0.8038035,-0.14049207,-0.8124158,0.47787258,0.96144485,-1.0258139,0.8318915,-0.080314144,-0.4689384
CC(C)(C)C(=O)Nc1ccccc1SSc1ccccc1NC(=O)C(C)(C)C,0,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3564771,-1.6331441,-1.2739085,-0.98790544,-0.5587269,-1.4987485,-0.38317665,-1.2963808,-1.5067663,-0.24338184,-0.29194424,-1.2447407,-2.2988496,-1.2850248,-0.9248653,-0.98566556,-0.83936894,-0.023995362,-1.1725932,-0.83887625,-0.57093525,2.4071789,-0.3811247,-0.657377,-1.238224,-1.3514572,-0.79854107,-0.18931967,-1.6038274,2.628323,-1.0845408,-0.07005242,-1.2954394,-1.0403033,-1.4943616,0.2845578,-0.2901287,-0.38814905,0.8249119,-0.47600803,0.21993329,2.013569,2.0389538
CC(C)(C)C(=O)Sc1cc(F)ccc1NC(=O)C1(C)CCCCC1,0,train,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.499022,-2.0519793,-1.7756678,-1.5384004,-1.3648536,-1.1767827,-0.6168553,-1.0065644,-0.9247586,0.6440456,-0.68688226,-1.8081772,1.642773,-1.847488,-0.92566085,-1.5519936,-1.612476,-0.9003619,-1.8274224,0.05621828,-0.37470755,2.4073124,-1.0048673,-1.6711001,-1.4823012,-1.7625763,-1.7988849,-0.5044065,-1.3379331,1.0989195,-1.0845408,0.3721705,-2.3822296,-1.1178893,-1.5420513,0.9175466,0.21985029,-0.8366313,0.7189724,-1.015693,-0.052039366,0.9918671,-0.4689384
CC(C)(C)C(=O)Sc1ccc(Cl)cc1NC(=O)C1(C)CCCCC1,0,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5118073,-2.0519793,-1.7756678,-1.5384004,-1.2140614,-1.1777852,-0.4914675,-1.2963808,-0.91776603,0.9109092,-0.68688226,-1.6697252,1.642773,-1.7008317,-0.92566085,-1.4928172,-1.5141213,-0.81363904,-1.6832397,-0.5342328,-0.5918896,2.408168,-0.7010306,-1.4597085,-1.4823012,-1.7625763,-1.7988849,-0.18113597,-1.6038274,2.1870704,-1.0845408,0.3721705,-2.4174552,-1.3805275,-1.5420513,0.2845578,0.21985029,-0.8366313,0.75672615,-0.88483727,0.26778877,1.0551902,-0.4689384
