Name,Smiles,pIC50,activity
CHEMBL125473,OC(CN(Cc1cccc(C(F)(F)F)c1)c1cccc(F)c1)C(F)(F)F,4.431798275933005,inactive
CHEMBL128218,Cc1ccccc1CN(CC(O)C(F)(F)F)c1cccc(F)c1,4.0,inactive
CHEMBL127895,OC(CN(Cc1cccc(OC(F)(F)F)c1)c1cccc(Oc2ccccc2)c1)C(F)(F)F,4.3979400086720375,inactive
CHEMBL337966,CC(C)Cc1cccc(CN(CC(O)C(F)(F)F)c2cccc(Oc3ccccc3)c2)c1,6.267606240177032,inactive
CHEMBL340310,O[C@@H](CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(Oc2ccccc2)c1)C(F)(F)F,6.096910013008056,inactive
CHEMBL127951,OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(F)c1)C(F)(F)F,5.346787486224656,inactive
CHEMBL126074,COc1cc(N(Cc2cccc(SC(F)(F)F)c2)C[C@@H](O)C(F)(F)F)cc(OC)c1OC,5.301029995663981,inactive
CHEMBL126972,OC(CN(Cc1ccccc1C(F)(F)F)c1cccc(F)c1)C(F)(F)F,4.0,inactive
CHEMBL127187,OC(CN(Cc1cccc(C(F)(F)F)c1)c1ccccc1)C(F)(F)F,3.6989700043360187,inactive
CHEMBL366848,Clc1ccc(N2CCN(c3nc(N4CCNCC4)nc(N4CCc5ccccc5C4)n3)CC2)cc1,5.301029995663981,inactive
CHEMBL59633,COc1ccc(O)c(OC)c1CC1=C(C)CCC2C(C)(C)CCC[C@]12C,4.337242168318426,inactive
CHEMBL61585,COc1ccc(O)c(O)c1CCC1[C@@H](C)CCC2C(C)(C)CCC[C@]12C,5.161150909262744,inactive
CHEMBL297077,OC(CN(Cc1cccc(-c2ncccn2)c1)c1cccc(Oc2ccccc2)c1)C(F)(F)F,5.172630726946175,inactive
CHEMBL40419,OC(CN(Cc1cccc(-c2cccs2)c1)c1cccc(Oc2ccccc2)c1)C(F)(F)F,5.950781977329818,inactive
CHEMBL120059,CC1(C(=O)Nc2ccccc2S)CCCCC1,4.769551078621726,inactive
CHEMBL332976,CCC(CC)CC1(C(=O)Nc2ccccc2SC(C)=O)CCCCC1,5.3979400086720375,inactive
CHEMBL313006,CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1,5.221848749616356,inactive
CHEMBL331175,CCCCC1(C(=O)Nc2ccccc2S)CCCCC1,5.045757490560675,inactive
CHEMBL2371731,CCCCC(C)C1CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)O1,6.522878745280337,inactive
CHEMBL86594,CC(C)(C)C(=O)Sc1ccc(C(F)(F)F)cc1NC(=O)C1(C)CCCCC1,4.3979400086720375,inactive
CHEMBL68918,O=[N+]([O-])c1ccc(Oc2cccc(N(Cc3cccc(OC(F)(F)C(F)F)c3)CC(O)C(F)(F)F)c2)cc1,4.533132379645891,inactive
CHEMBL69490,COc1cccc(Oc2cccc(N(Cc3cccc(OC(F)(F)C(F)F)c3)CC(O)C(F)(F)F)c2)c1,4.806875401645538,inactive
CHEMBL69885,Cc1cc(Oc2cccc(N(Cc3cccc(OC(F)(F)C(F)F)c3)CC(O)C(F)(F)F)c2)ccc1F,7.096910013008056,active
CHEMBL69685,OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(OC2CCCCC2)c1)C(F)(F)F,5.585026652029182,inactive
CHEMBL68688,OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(Oc2ccc(C(F)(F)F)cc2)c1)C(F)(F)F,5.161150909262744,inactive
CHEMBL67395,OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(OCc2ccccc2)c1)C(F)(F)F,4.91721462968355,inactive
CHEMBL315842,CC(C)(C)C(=O)Sc1ccc(Cl)cc1NC(=O)C1(C)CCCCC1,4.552841968657781,inactive
CHEMBL419999,OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(OCc2cccc(OC(F)(F)F)c2)c1)C(F)(F)F,7.221848749616356,active
CHEMBL66503,Cc1cccc(Oc2cccc(N(Cc3cccc(OC(F)(F)C(F)F)c3)CC(O)C(F)(F)F)c2)c1,7.045757490560675,active
CHEMBL305995,O=[N+]([O-])c1c(F)cccc1Oc1cccc(N(Cc2cccc(OC(F)(F)C(F)F)c2)CC(O)C(F)(F)F)c1,7.0,active
CHEMBL66519,O[C@H](CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cccc(Oc2cccc(OC(F)(F)F)c2)c1)C(F)(F)F,5.3979400086720375,inactive
CHEMBL86947,CC(C)CCC1(C(=O)Nc2ccccc2SC(=O)C(C)(C)C)CCCCC1,4.214670164989233,inactive
CHEMBL313593,CC(C)CCC1(C(=O)Nc2cc(Cl)c(Cl)cc2SC(=O)C(C)(C)C)CCCCC1,5.698970004336019,inactive
CHEMBL440128,CCc1cc(Oc2cccc(N(Cc3cc(C(F)(F)F)ccc3F)C[C@@H](O)C(F)(F)F)c2)ccc1Cl,4.309803919971486,inactive
CHEMBL67166,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,4.939302159646388,inactive
CHEMBL191555,COc1c([C@@H](O)CC(C)C)ccc2c1C(=O)Oc1cc(C)cc(OC(=O)C3CCCC3)c1O2,6.221848749616356,inactive
